#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalTests,Population,Continent
,,,,,,,,,,,,
,"
North America
","131,889,132",,"1,695,941",,"127,665,129",+350,"2,528,062","6,095",,,North America
,"
Asia
","221,500,265",,"1,553,662",,"205,673,091",,"14,273,512","14,733",,,Asia
,"
Europe
","253,406,198",,"2,101,824",,"248,754,104",+474,"2,550,270","4,453",,,Europe
,"
South America
","70,200,879",,"1,367,332",,"66,683,585",,"2,149,962","8,953",,,South America
,"
Oceania
","14,895,771",,"33,015",,"14,752,388",,"110,368",31,,,Australia/Oceania
,"
Africa
","12,860,924",,"258,892",,"12,090,808",,"511,224",529,,,Africa
,"

",721,,15,,706,,0,0,,,
39,Romania,"3,529,735",,"68,929                                ",,"3,460,149",+390,657,21,"28,758,667","19,031,335 ",Europe
40,Denmark,"3,183,756",,"8,814                                ",,"3,174,942",,0,,"129,333,107","5,834,950 ",Europe
41,Singapore,"3,006,155",,"2,024                                ",,"3,004,131",,0,4,"24,756,666","5,943,546 ",Asia
42,Hong Kong,"2,937,609",,"14,924                                ",,"2,916,005",,"6,680",N/A,"76,127,725","7,604,299 ",Asia
43,Sweden,"2,754,129",,"27,407                                ",,"2,726,492",+20,230,N/A,"19,500,873","10,218,971 ",Europe
44,New Zealand,"2,621,111",,"5,697                                ",,"2,613,791",,"1,623",,"7,768,604","4,898,203 ",Australia/Oceania
45,Serbia,"2,615,054",,"18,057                                ",,"2,596,608",,389,,"13,463,733","8,653,016 ",Europe
46,Iraq,"2,465,545",,"25,375                                ",,"2,439,497",,673,,"19,544,451","42,164,965 ",Asia
47,Hungary,"2,230,232",,"49,048                                ",,"2,152,155",,"29,029",,"11,394,556","9,606,259 ",Europe
48,Bangladesh,"2,049,377",,"29,493                                ",,N/A,N/A,N/A,N/A,"15,254,399","167,885,689 ",Asia
49,Slovakia,"1,877,605",,"21,224                                ",,"1,856,381",,0,23,"7,448,789","5,460,193 ",Europe
50,Georgia,"1,861,665",,"17,132                                ",,N/A,N/A,N/A,,"16,920,079","3,968,738 ",Asia
51,Jordan,"1,746,997",,"14,122                                ",,"1,731,007",,"1,868",59,"17,201,885","10,300,869 ",Asia
52,Ireland,"1,734,582",,"9,491                                ",,"1,724,921",,170,19,"13,083,449","5,020,199 ",Europe
53,Pakistan,"1,581,936",,"30,664                                ",,"1,538,689",,"12,583",,"30,589,153","229,488,994 ",Asia
54,Finland,"1,516,117",,"11,958                                ",,"1,503,989",+14,170,N/A,"12,108,977","5,554,960 ",Europe
55,Norway,"1,509,732",,"6,638                                ",,"1,503,094",,0,N/A,"11,002,430","5,511,370 ",Europe
56,Kazakhstan,"1,411,831",,"13,848                                ",,"1,383,020",,"14,963",24,"11,575,012","19,205,043 ",Asia
57,Lithuania,"1,397,806",,"9,897                                ",,"1,387,478",,431,N/A,"10,540,357","2,661,708 ",Europe
58,Slovenia,"1,356,546",,"7,100                                ",,"1,349,424",,22,N/A,"2,847,701","2,078,034 ",Europe
59,Bulgaria,"1,339,851",,"38,748                                ",,"1,292,944",,"8,159",22,"11,671,043","6,844,597 ",Europe
60,Croatia,"1,309,728",,"18,687                                ",,"1,258,432",,"32,609",,"5,660,084","4,059,286 ",Europe
61,Guatemala,"1,291,293",,"20,289                                ",,"1,269,891",,"1,113",5,"7,593,848","18,584,039 ",North America
62,Morocco,"1,278,992",,"16,303                                ",,N/A,N/A,N/A,N/A,"13,001,033","37,772,756 ",Africa
63,Lebanon,"1,243,838",,"10,952                                ",,"1,087,587",,"145,299",74,"4,795,578","6,684,849 ",Asia
64,Costa Rica,"1,238,883",,"9,428                                ",,N/A,N/A,N/A,N/A,"4,659,757","5,182,354 ",North America
65,Bolivia,"1,212,131",,"22,407                                ",,"1,177,145",,"12,579",220,"2,710,261","11,992,656 ",South America
66,Tunisia,"1,153,361",,"29,423                                ",,N/A,N/A,N/A,N/A,"5,013,383","12,046,656 ",Africa
67,Cuba,"1,115,251",,"8,530                                ",,"1,106,660",,61,,"14,402,674","11,305,652 ",North America
68,Ecuador,"1,070,188",,"36,043                                ",,"1,034,145",,0,,"3,082,403","18,113,361 ",South America
69,UAE,"1,067,030",,"2,349                                ",,N/A,N/A,N/A,,"200,732,262","10,081,785 ",Asia
70,Panama,"1,059,893",,"8,727                                ",,"1,051,102",,64,16,"7,882,622","4,446,964 ",North America
71,Uruguay,"1,041,111",,"7,664                                ",,"1,030,944",,"2,503",18,"6,114,822","3,496,016 ",South America
72,Mongolia,"1,011,496",,"2,284                                ",,"1,009,212",,0,N/A,"4,030,048","3,378,078 ",Asia
73,Nepal,"1,003,450",,"12,031                                ",,"991,322",,97,,"6,047,766","30,225,582 ",Asia
74,Belarus,"994,037",,"7,118                                ",,"985,592",,"1,327",,"13,646,641","9,432,800 ",Europe
75,Latvia,"982,505",,"6,715                                ",,"971,406",,"4,384",,"7,885,792","1,848,837 ",Europe
76,Saudi Arabia,"841,469",,"9,646                                ",,N/A,N/A,N/A,,"45,481,735","35,844,909 ",Asia
77,Paraguay,"837,602",,"20,155                                ",,N/A,N/A,N/A,N/A,"2,657,506","7,305,843 ",South America
78,Azerbaijan,"835,234",,"10,400                                ",,"824,089",,745,,"7,748,050","10,300,205 ",Asia
79,Bahrain,"729,549",,"1,574                                ",,"727,915",,60,N/A,"10,948,549","1,783,983 ",Asia
80,Cyprus,"681,110",,"1,365                                ",,"679,745",,0,,"9,640,118","1,223,387 ",Asia
81,Dominican Republic,"675,890",,"4,384                                ",,"671,316",,190,4,"3,740,928","11,056,370 ",North America
82,Sri Lanka,"672,754",,"16,897                                ",,"655,852",,5,,"6,486,117","21,575,842 ",Asia
83,Kuwait,"667,158",,"2,570                                ",,N/A,N/A,N/A,,"8,455,743","4,380,326 ",Asia
84,Myanmar,"641,873",,"19,495                                ",,"620,159",,"2,219",,"11,711,514","55,227,143 ",Asia
85,Moldova,"635,145",,"12,218                                ",,N/A,N/A,N/A,N/A,"3,216,305","4,013,171 ",Europe
86,Estonia,"628,070",,"3,001                                ",,N/A,N/A,N/A,N/A,"6,968,103","1,321,910 ",Europe
87,Palestine,"621,008",,"5,404                                ",,"615,445",,159,,"3,078,533","5,345,541 ",Asia
88,Venezuela,"552,695",,"5,856                                ",,"546,537",,302,31,"3,359,014","29,266,991 ",South America
89,Egypt,"516,023",,"24,613                                ",,"442,182",,"49,228",122,"3,693,367","106,156,692 ",Africa
90,Qatar,"514,524",,690                                ,,"513,687",,147,16,"4,065,369","2,979,915 ",Asia
91,Libya,"507,274",,"6,437                                ",,"500,835",,2,,"2,483,848","7,040,745 ",Africa
92,Ethiopia,"501,157",,"7,574                                ",,"488,171",,"5,412",,"5,565,340","120,812,698 ",Africa
93,Réunion,"494,595",,921                                ,,N/A,N/A,N/A,N/A,"1,603,660","908,061 ",Africa
94,Honduras,"474,590",,"11,165                                ",,N/A,N/A,N/A,N/A,"1,660,662","10,221,247 ",North America
95,Armenia,"451,831",,"8,777                                ",,"435,162",,"7,892",,"3,242,901","2,971,966 ",Asia
96,Bosnia and Herzegovina,"403,615",,"16,388                                ",,"379,084",,"8,143",,"1,884,721","3,249,317 ",Europe
97,Oman,"399,449",,"4,628                                ",,N/A,N/A,N/A,,"25,000,000","5,323,993 ",Asia
98,Luxembourg,"391,232",,"1,232                                ",,N/A,N/A,N/A,,"4,587,145","642,371 ",Europe
99,North Macedonia,"350,567",,"9,976                                ",,"337,068",,"3,523",,"2,226,216","2,081,304 ",Europe
100,Zambia,"349,304",,"4,069                                ",,"341,316",,"3,919",,"4,112,961","19,470,234 ",Africa
